Period,TOTAL_SALES,,,,Row Labels,Sum of Sum of TOTAL_SALES,,Period,FY2014,FY2015,FY2016,,,,,,Period,FY2015,FY2016
2013-12,524283.4525,,,,2013-12,524283.4525,,Jan," 4,008,180 "," 3,696,192 "," 5,403,091 ",,,,,,Jan,-8%,46%
2014-01,4008180.489,,,,2014-01,4008180.489,,Feb," 5,780,487 "," 4,901,505 "," 4,891,882 ",,,,,,Feb,-15%,0%
2014-02,5780487.175,,,,2014-02,5780487.175,,Mar," 8,279,517 "," 5,269,353 "," 2,951,856 ",,,,,,Mar,-36%,-44%
2014-03,8279517.176,,,,2014-03,8279517.176,,Apr," 6,435,743 "," 5,963,994 "," 6,656,880 ",,,,,,Apr,-7%,12%
2014-04,6435743.274,,,,2014-04,6435743.274,,May," 7,694,906 "," 8,384,367 "," 5,170,232 ",,,,,,May,9%,-38%
2014-05,7694906.153,,,,2014-05,7694906.153,,Jun," 6,456,944 "," 5,332,108 "," 6,771,135 ",,,,,,Jun,-17%,27%
2014-06,6456943.647,,,,2014-06,6456943.647,,Jul," 4,933,711 "," 3,677,692 "," 3,324,825 ",,,,,,Jul,-25%,-10%
2014-07,4933710.801,,,,2014-07,4933710.801,,Aug," 10,010,378 "," 3,934,668 "," 4,343,329 ",,,,,,Aug,-61%,10%
2014-08,10010378.29,,,,2014-08,10010378.29,,Sep," 7,643,453 "," 4,669,900 "," 3,259,543 ",,,,,,Sep,-39%,-30%
2014-09,7643452.686,,,,2014-09,7643452.686,,Oct," 5,924,683 "," 4,828,975 "," 2,329,173 ",,,,,,Oct,-18%,-52%
2014-10,5924683.381,,,,2014-10,5924683.381,,Nov," 2,631,353 "," 6,538,149 "," 1,851,030 ",,,,,,Nov,148%,-72%
2014-11,2631353.343,,,,2014-11,2631353.343,,Dec," 5,615,619 "," 6,820,690 ",,,,,,,Dec,21%,
2014-12,5615619.299,,,,2014-12,5615619.299,,,,,,,,,,,,,
2015-01,3696191.508,,,,2015-01,3696191.508,,,,,,,,,,,,,
2015-02,4901504.893,,,,2015-02,4901504.893,,,,,,,,,,,,,
2015-03,5269353.153,,,,2015-03,5269353.153,,,,,,,,,,,,,
2015-04,5963993.968,,,,2015-04,5963993.968,,,,,,,,,,,,,
2015-05,8384367.241,,,,2015-05,8384367.241,,,,,,,,,,,,,
2015-06,5332108.323,,,,2015-06,5332108.323,,,,,,,,,,,,,
2015-07,3677692.394,,,,2015-07,3677692.394,,,,,,,,,,,,,
2015-08,3934668.408,,,,2015-08,3934668.408,,,,,,,,,,,,,
2015-09,4669899.859,,,,2015-09,4669899.859,,,,,,,,,,,,,
2015-10,4828975.08,,,,2015-10,4828975.08,,,,,,,,,,,,,
2015-11,6538148.883,,,,2015-11,6538148.883,,,,,,,,,,,,,
2015-12,6820689.678,,,,2015-12,6820689.678,,,,,,,,,,,,,
2016-01,5403090.509,,,,2016-01,5403090.509,,,,,,,,,,,,,
2016-02,4891882.308,,,,2016-02,4891882.308,,,,,,,,,,,,,
2016-03,2951856.006,,,,2016-03,2951856.006,,,,,,,,,,,,,
2016-04,6656880.176,,,,2016-04,6656880.176,,,,,,,,,,,,,
2016-05,5170231.855,,,,2016-05,5170231.855,,,,,,,,,,,,,
2016-06,6771134.938,,,,2016-06,6771134.938,,,,,,,,,,,,,
2016-07,3324825.432,,,,2016-07,3324825.432,,,,,,,,,,,,,
2016-08,4343329.414,,,,2016-08,4343329.414,,,,,,,,,,,,,
2016-09,3259542.502,,,,2016-09,3259542.502,,,,,,,,,,,,,
2016-10,2329172.703,,,,2016-10,2329172.703,,,,,,,,,,,,,
2016-11,1851029.863,,,,2016-11,1851029.863,,,,,,,,,,,,,
,,,,,Grand Total,186909828.3,,,,,,,,,,,,,
,,,,,,,Period,FY2014,FY2015,FY2016,,,,,,,,,
,,,,,,,Jan," 4,008,180 "," 3,696,192 "," 5,403,091 ",,,,,,,,,
,,,,,,,Feb," 5,780,487 "," 4,901,505 "," 4,891,882 ",,,,,,,,,
,,,,,,,Mar," 8,279,517 "," 5,269,353 "," 2,951,856 ",,,,,,,,,
,,,,,,,Apr," 6,435,743 "," 5,963,994 "," 6,656,880 ",,,,,,,,,
,,,,,,,May," 7,694,906 "," 8,384,367 "," 5,170,232 ",,,,,,,,,
,,,,,,,Jun," 6,456,944 "," 5,332,108 "," 6,771,135 ",,,,,,,,,
,,,,,,,Jul," 4,933,711 "," 3,677,692 "," 3,324,825 ",,,,,,,,,
,,,,,,,Aug," 10,010,378 "," 3,934,668 "," 4,343,329 ",,,,,,,,,
,,,,,,,Sep," 7,643,453 "," 4,669,900 "," 3,259,543 ",,,,,,,,,
,,,,,,,Oct," 5,924,683 "," 4,828,975 "," 2,329,173 ",,,,,,,,,
,,,,,,,Nov," 2,631,353 "," 6,538,149 "," 1,851,030 ",,,,,,,,,
,,,,,,,Dec," 5,615,619 "," 6,820,690 ",,,,,,,,,,
